Date,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Species ,realYear,realDate
24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M, The shark & man simply collided; neither were injured,N,Blacktip shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='24-Feb-2018'>"
23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,leg,N,"Juvenile white shark,  2.7 to 3.2 m","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='23-Feb-2018'>"
18-Feb-2018,2018.0,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,M,NO INJURY,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='18-Feb-2018'>"
15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Walking,M,leg,N,"Bull shark, 2 m","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='15-Feb-2018'>"
14-Feb-2018,2018.0,Invalid,AUSTRALIA,Queensland,Swimming,F,NO INJURY,N,Possibly a wobbegong,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='14-Feb-2018'>"
11-Feb-2018,2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,F,foot,N,"Injury believed caused by an eel, not a shark","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='11-Feb-2018'>"
03-Feb-2018,2018.0,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,foot,N,Galapagos shark?,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='03-Feb-2018'>"
01-Feb-2018,2018.0,Invalid,AUSTRALIA,Western Australia,Spearfishing,M,NO INJURY,N,2m shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='01-Feb-2018'>"
28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,,M,leg,N,Bull shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='28-Jan-2018'>"
21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,,Spearfishing,M,body,N,"Bull shark, 3 m ","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='21-Jan-2018'>"
14-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Queensland,Diving,M,arm,N,Grey reef shark. 2 m,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='14-Jan-2018'>"
13-Jan-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Free diving,M,NO INJURY,N,"White shark, 3.5 m","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='13-Jan-2018'>"
12-Jan-2018,2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,M,arm,N,small shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='12-Jan-2018'>"
05-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,foot,N,Wobbegong shark?,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='05-Jan-2018'>"
31-Dec-2017,2017.0,Unprovoked,USA,Hawaii,Surfing,F,leg,N,Tiger shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='31-Dec-2017'>"
30-Dec-2017,2017.0,Unprovoked,USA,California,Surfing,F,foot,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='30-Dec-2017'>"
21-Dec-2017,2017.0,Provoked,MALAYSIA,Sepang,Fishing / Wading,M,thigh,N,Juvenile nurse shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='21-Dec-2017'>"
09-Dec-2017,2017.0,Unprovoked,BAHAMAS,,Snorkeling,F,arm,N,Nurse shark. 5',"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='09-Dec-2017'>"
30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,M,leg,N,"Tiger shark, female","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='30-Nov-2017'>"
30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,F,FATAL,Y,"Tiger shark, female","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='30-Nov-2017'>"
Reported 25-Nov-2017,2017.0,Sea Disaster,LIBYA,,2 boats capsized,,FATAL,Y,Some drowned but other may have been killed by blue sharks,"<re.Match object; span=(16, 20), match='2017'>","<re.Match object; span=(9, 20), match='25-Nov-2017'>"
24-Nov-2017,2017.0,Unprovoked,USA,California,Spearfishing,M,leg,N,"White shark, 4.6 m","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='24-Nov-2017'>"
18-Nov-2017,2017.0,Unprovoked,USA,Florida,Surfing,F,foot,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='18-Nov-2017'>"
Reported 13-Nov-2017,2017.0,Unprovoked,,,Surfing,M,Puncture wounds to feet,N,,"<re.Match object; span=(16, 20), match='2017'>","<re.Match object; span=(9, 20), match='13-Nov-2017'>"
13-Nov-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,arm,N,2 m shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='13-Nov-2017'>"
04-Nov-2017,2017.0,Unprovoked,CUBA,Holquin Province,Night bathing,M,FATAL,Y,Tiger shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='04-Nov-2017'>"
Reported 31-Oct-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Snorkeling,M,leg,N,Cookiecutter shark,"<re.Match object; span=(16, 20), match='2017'>","<re.Match object; span=(9, 20), match='31-Oct-2017'>"
28-Oct-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,foot,N,"Wobbegong shark, 1 m","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='28-Oct-2017'>"
26-Oct-2017,2017.0,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,NO INJURY,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='26-Oct-2017'>"
23-Oct-2017,2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Swimming,M,foot,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='23-Oct-2017'>"
23-Oct-2017,2017.0,Unprovoked,USA,Florida,Surfing ,M,foot,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='23-Oct-2017'>"
23-Oct-2017,2017.0,Unprovoked,USA,Florida,Swimming,F,hand,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='23-Oct-2017'>"
22-Oct-2017,2017.0,Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,F,MINOR INJURY,N,"White shark, 4.5 m","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='22-Oct-2017'>"
21-Oct-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,Kayaking,M,NO INJURY,N,2 m shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='21-Oct-2017'>"
18-Oct-2017,2017.0,Unprovoked,USA,Florida,Swimming,M,foot,N,"Spinner shark, 4 to 5 feet","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='18-Oct-2017'>"
09-Oct-2017,2017.0,Unprovoked,USA,Hawaii,Surfing,M,hand,N,"Tiger shark, 8 to 10 feet","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='09-Oct-2017'>"
05-Oct-2017,2017.0,Unprovoked,USA,Hawaii,Snorkeling,F,Abrasions,N,8' shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='05-Oct-2017'>"
